Titulo;Año;Director;Vista
Who Killed Who?;1943;Tex Avery;0
At Land;1944;Maya Deren;0
Breve encuentro;1945;David Lean;0
Perdición;1944;Billy Wilder;1
Los niños del paraíso (Les enfants du paradis);1945;Marcel Carné;0
Jammin' the Blues;1944;Gjon Mili;0
Laura;1944;Otto Preminger;0
Cita en St. Louis;1944;Vincente Minnelli;0
Screwball Squirrel;1944;Tex Avery;0
Tener y no tener;1944;Howard Hawks;0
La torre de los siete jorobados;1944;Edgar Neville;0
When Strangers Marry;1944;William Castle;0
Iván el terrible;1944;Sergei M. Eisenstein;0
El reloj;1945;Vincente Minnelli;0
Las damas del bosque de Bolonia;1945;Robert Bresson;0
Duelo al sol;1946;King Vidor;0
Perversidad;1945;Fritz Lang;0
Los tres caballeros;1944;Norman Ferguson;0
La bella y la bestia;1946;Jean Cocteau;0
Los mejores años de nuestra vida;1946;William Wyler;0
Utamaro y sus cinco mujeres;1946;Kenji Mizoguchi;0
De hoy en adelante;1946;John Berry;0
Gilda;1946;Charles Vidor;0
The Man I Love;1946;Raoul Walsh;0
A vida o muerte;1946;Michael Powell;0
Pasión de los fuertes;1946;John Ford;0
Encadenados;1946;Alfred Hitchcock;0
Paisà;1946;Roberto Rossellini;0
El limpiabotas;1946;Vittorio De Sica;0
La senda tenebrosa;1947;Delmer Daves;0
Germania, anno zero (Alemania, año cero);1948;Roberto Rossellini;0
Sé a dónde voy;1945;Michael Powell;0
King-Size Canary;1947;Tex Avery;0
Monsieur Verdoux;1947;Charles Chaplin;0
Motion Painting No. 1;1947;Oskar Fischinger;0
Larga es la noche;1947;Carol Reed;0
Retorno al pasado;1947;Jacques Tourneur;0
En legítima defensa;1947;See full summary;0
Una mujer en la playa;1947;Jean Renoir;0
The Argyle Secrets;1948;Cy Endfield;0
Ladrón de bicicletas;1948;Vittorio De Sica;0
La fuerza del mal;1948;Abraham Polonsky;0
El buen Sam;1948;Leo McCarey;0
Una gallina al viento;1948;Yasujirô Ozu;0
La dama de Shanghai;1947;Orson Welles;0
Carta de una desconocida;1948;Max Ophüls;0
Moonrise;1948;Frank Borzage;0
El pirata;1948;Vincente Minnelli;0
Las zapatillas rojas;1948;Michael Powell;0
La soga;1948;Alfred Hitchcock;1
Spring in a Small Town;1948;Mu Fei;0
La terra trema;1948;Luchino Visconti;0
Los amantes de la noche;1948;Nicholas Ray;0
La costilla de Adán;1949;George Cukor;0
Bad Luck Blackie;1949;Tex Avery;0
Begone Dull Care;1950;Evelyn Lambart;0
Le sang des bêtes;1949;Georges Franju;0
Escuela de carteros;1947;Jacques Tati;0
Los niños terribles;1950;Jean-Pierre Melville;0
Han matado a un hombre blanco;1949;Clarence Brown;0
Día de fiesta;1949;Jacques Tati;1
Primavera tardía;1949;Yasujirô Ozu;0
Little Rural Riding Hood;1949;Tex Avery;0
Almas desnudas;1949;Max Ophüls;0
Sansón y Dalila;1949;Cecil B. DeMille;0
Stromboli;1950;Roberto Rossellini;0
Mercado de ladrones;1949;Jules Dassin;0
El tercer hombre;1949;Carol Reed;0
La ventana;1949;Ted Tetzlaff;0
Eva al desnudo;1950;Joseph L. Mankiewicz;0
La reina del oeste;1950;Annie Oakley;0
La cenicienta;1950;Clyde Geronimi;1
El padre de la novia;1950;Vincente Minnelli;0
El halcón y la flecha;1950;Jacques Tourneur;0
El pistolero;1950;Henry King;0
En un lugar solitario;1950;Nicholas Ray;0
Los olvidados;1950;Luis Buñuel;1
Orfeo;1950;Jean Cocteau;0
Pánico en las calles;1950;Elia Kazan;0
The Sound of Fury;1950;Cy Endfield;0
Estrellas en mi corona;1950;Jacques Tourneur;0
El crepúsculo de los dioses;1950;Billy Wilder;1
Caravana de paz;1950;John Ford;0
El gran carnaval;1951;Billy Wilder;0
Alicia en el País de las Maravillas;1951;Clyde Geronimi;0
Bellísima;1951;Luchino Visconti;0
Ultimátum a la Tierra;1951;Robert Wise;0
